,publisher,short_journal_title,issue,volume,title,page,DOI,is_referenced_by_count,references_count,first_author_given_name,first_author_family_name,issued_year,issued_month,issued_day
602,Informa UK Limited,Journal of Soil Contamination,5,9,Comparison of Primary and Secondary Surfactant Flushing to Enhance LNAPL Recovery,425-448,10.1080/10588330091134338,3,0,Lizette R.,Chevalier,2000,9.0,
603,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,19,Hydrogen Peroxide Persistence in the Presence of Aquifer Materials,602-616,10.1080/15320383.2010.499924,15,34,Xiuyuan,Xu,2010,8.0,31.0
604,Informa UK Limited,Journal of Soil Contamination,3,5,"Determination of gasoline range, diesel range, and mineral oil range organics in soils and water by flame lonization gas chromatography",261-300,10.1080/15320389609383529,7,51,G. M.,Sawyer,1996,6.0,
605,Informa UK Limited,Journal of Soil Contamination,2,3,Transport and transformation of hexavalent chromium through soils and into ground water,203-224,10.1080/15320389409383463,35,43,Robert W.,Puls,1994,6.0,
606,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Natural Attenuation Versus Active Remediation at MTBE-Impacted Sites,378-378,10.1080/20025891106916,0,0,Rula A.,Deeb,2002,5.0,
607,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,"People, Fish, or Bunnies? Screening for Potential Environmental Concerns At Contaminated Sites",465-471,10.1080/20025891107906,0,0,Roger D.,Brewer,2002,5.0,
608,Informa UK Limited,Journal of Soil Contamination,2,5,Development of a screening relationship to describe migration of contaminant vapors into buildings,141-156,10.1080/15320389609383519,5,15,D. R.,Williams,1996,4.0,
609,Informa UK Limited,Journal of Soil Contamination,6,7,Characterization of Petroleum-Contaminated Soils by Thin-Layer Chromatography with Flame Ionization Detection,709-724,10.1080/10588339891334555,9,0,Guillermo E.,Napolitano,1998,11.0,
610,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,13,Time Dependent Strength and Stiffness of PCC Bottom Ash-Bentonite Mixtures,405-413,10.1080/10588330490465996,9,18,Sanjeev,Kumar,2004,7.0,
611,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,13,A Screening Level Mass Balance Model of Sediment Remediation Options,283-297,10.1080/10588330490445312,2,22,CHRISTOPHER S.,WARREN,2004,5.0,
612,Informa UK Limited,Journal of Soil Contamination,6,7,Investigative Strategies for a Large Former Industrial Facility “The Diamond Shamrock Painesville Works Site”—Case Study of Preremedial Investigation Activities,725-736,10.1080/10588339891334564,0,0,David,Rabbe,1998,11.0,
613,Informa UK Limited,Journal of Soil Contamination,6,8,"Stabilization of Oxidic Tailings and Contaminated Soils by Calcium Oxyphosphate Addition: The Case of Montevecchio (Sardinia, Italy)",681-697,10.1080/10588339991339540,9,0,Anthimos,Xenidis,1999,11.0,
614,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,11,Fate and Transport of Contaminants in Indoor Air,583-601,10.1080/20025891107177,13,0,David A.,Olson,2002,7.0,
615,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Finite Element Analysis for the Barrier System of the Landfill,401-401,10.1080/20025891107285,0,0,Huang,Wei,2002,5.0,
616,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,13,LCA for Site Remediation: A Literature Review,415-425,10.1080/10588330490471304,49,13,Pascal,Suèr,2004,7.0,
617,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,10,"Roadside Topsoil Concentrations of Lead and Other Heavy Metals in Ibadan, Nigeria",577-591,10.1080/20015891109446,32,0,P. C.,Onianwa,2001,11.0,
618,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,Exploring the Potential of Fucoxanthin Treatment to Alleviate Microplastic Pollution Effects on Maize Growth,1-30,10.1080/15320383.2023.2258413,2,80,Farzad,Rassaei,2023,9.0,18.0
619,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,17,Contaminant Sorbent Aggregation Index based on Cadmium Sorption Capacity,363-380,10.1080/15320380802146495,0,26,Gustavo B.,Menezes,2008,6.0,24.0
620,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,11,"18th Annual International Conference on Contaminated Soils, Sediments, and Water, October 21–24, 2002",861-1040,10.1080/20025891107131,0,0,,,2002,11.0,
621,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,12,Utilization of Illinois PCC Dry Bottom Ash for Compacted Landfill Barriers,401-415,10.1080/713610980,21,0,Sanjeev,Kumar,2003,5.0,
622,Informa UK Limited,Journal of Soil Contamination,4,8,Adsorption of Five Model Organic Compounds on a Peat at Different Stages of Drying,423-440,10.1080/10588339991339397,2,0,I.,Franco,1999,7.0,
623,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,29,"Remediation of 2,4,6-trinitrotoluene Persistent in the Environment – A review",1-13,10.1080/15320383.2019.1664394,7,66,Thenmozhi,A,2019,10.0,8.0
624,Informa UK Limited,Journal of Soil Contamination,5,9,Physicochemical and Mineralogical Characterization of Uranium-Contaminated Soils,463-486,10.1080/10588330091134356,37,0,Y.,Roh,2000,9.0,
625,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,30,Effect of Phytoremediation on Geotechnical Characteristics of Oil Contaminated Sands,943-963,10.1080/15320383.2021.1900065,5,60,Amir Hossein,Karimi,2021,4.0,7.0
626,CSIRO Publishing,Soil Res.,1,11,"Contamination of soil with zinc, copper, lead, and cadmium in the Wollongong city area",27,10.1071/sr9730027,43,0,F,Beavington,1973,,
627,Walter de Gruyter GmbH,,1,67,Soil sealing degree as factor influencing urban soil contamination with polycyclic aromatic hydrocarbons (PAHs),17-23,10.1515/ssa-2016-0003,10,68,Łukasz,Mendyk,2016,3.0,1.0
628,Pleiades Publishing Ltd,Eurasian Soil Sc.,12,42,Radioactive contamination as a type of soil degradation,1386-1396,10.1134/s1064229309120096,26,49,R. M.,Aleksakhin,2009,12.0,
629,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,22,Lead Retention by Soils at Field Moisture Contents,208-222,10.1080/15320383.2012.714423,3,37,Sudhakar M.,Rao,2013,2.0,
630,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,The Conceptual Site Model—A Tool for Expedited Redevelopment,394-394,10.1080/20025891107212,0,0,Gary L.,Brugger,2002,5.0,
631,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Thermal Remediation of MTBE-Affected Sites,455-455,10.1080/20025891107807,0,0,James A. M.,Thomson,2002,5.0,
632,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,MTBE On Trial — South Tahoe Public Utility District v. ARCO et al.,452-452,10.1080/20025891107771,0,0,Kevin C.,Mayer,2002,5.0,
633,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,16,"Trace Elements in Street and Household Dusts in Amman, Jordan",485-496,10.1080/15320380701490184,24,30,Idrees F.,Al-Momani,2007,8.0,14.0
634,Informa UK Limited,Journal of Soil Contamination,5,8,Risk Analysis of a Farm Area Near a Lead- and Cadmium-Contaminated Industrial Site,527-540,10.1080/10588339991339450,34,0,Koldo,Cambra,1999,9.0,
635,Informa UK Limited,Journal of Soil Contamination,2,3,<i>In Situ</i>emulsification and mobilization of gasoline range hydrocarbons using surfactants,159-182,10.1080/15320389409383460,5,50,John W.,Duggan,1994,6.0,
636,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,Background Metals in California Soils: What Do the Data Tell Us?,421-428,10.1080/20025891106853,0,0,Bruce E.,Castle,2002,5.0,
637,Informa UK Limited,Journal of Soil Contamination,6,9,A Method for Assessing Leaching Potential for Petroleum Hydrocarbons Release Sites: Multiphase and Multisubstance Equilibrium Partitioning,611-632,10.1080/10588330091134437,4,0,Hun Seak,Park,2000,11.0,
638,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,21,Phytoextraction of Zinc: Physiological and Molecular Mechanism,115-133,10.1080/15320383.2012.636983,17,122,Rajesh,Dhankhar,2012,1.0,
639,Informa UK Limited,Journal of Soil Contamination,5,9,A Comparative Analysis of Contaminant Migration Models Using Barrier Material Data,487-501,10.1080/10588330091134365,10,0,John L.,Daniels,2000,9.0,
640,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,16,Effect of Rhamnolipids on Chromium-Contaminated Kaolinite,1-14,10.1080/15320380601071241,33,45,Hafez,Massara,2007,1.0,
641,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,25,Improving Mathematical Model in Biodegradation of PAHs Contaminated Soil Using Gram-Positive Bacteria,443-458,10.1080/15320383.2016.1168356,9,49,Nor Amani Filzah,Mohd Kamil,2016,5.0,18.0
642,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,27,Optimization of Influencing Parameters on Phenanthrene Removal Efficiency in Soil Washing Process by Using Response Surface Methodology,46-59,10.1080/15320383.2017.1405381,9,32,Farzaneh,Gharibzadeh,2017,12.0,7.0
643,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,22,Complex Interaction and Adsorption of Glyphosate and Lead in Soil,72-84,10.1080/15320383.2012.714421,11,33,You-Bin,Si,2012,8.0,8.0
644,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,25,Phytoavailability and Leachability of Heavy Metals from Contaminated Soil Treated with Composted Livestock Manure,181-194,10.1080/15320383.2016.1112361,15,49,Shazia,Gul,2016,1.0,6.0
645,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,20,Kinetic Modeling and Error Analysis for Decontamination of Different Petroleum Hydrocarbon Components in Biostimulation of Oily Soil Microcosm,432-446,10.1080/15320383.2011.571525,15,59,Nour Sh.,El-Gendy,2011,5.0,
646,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,13,Complex NAPL Site Characterization Using Fluorescence Part 2: Analysis of Soil Matrix Effects on the Excitation/Emission Matrix,119-134,10.1080/10588330408984083,4,13,MARK L.,KRAM,2004,1.0,
647,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,20,Contribution of Lithologic and Anthropogenic Factors to Surface Soil Heavy Metals in Western Iran Using Multivariate Geostatistical Analyses,921-937,10.1080/15320383.2011.620045,58,47,Marzieh,Taghipour,2011,11.0,
648,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,25,The Comparative and Combined Inhibitory Effects of MTBE and TBA on the Activities of Soil Exoenzymes,408-418,10.1080/15320383.2016.1145188,1,34,Woo-Mi,Lee,2016,4.0,27.0
649,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,16,Enhanced Photodegradation of PNP on Soil Surface under UV Irradiation with TiO<sub>2</sub>,413-421,10.1080/15320380701404607,16,34,Jingxian,Wang,2007,5.0,25.0
650,Informa UK Limited,Soil and Sediment Contamination: An International Journal,7,27,Effects of Groundwater Irrigation and Petroleum Exploiting on Soil Arsenic Levels,551-562,10.1080/15320383.2018.1489372,1,36,Yuhong,Su,2018,7.0,11.0
651,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,12,Factors Controlling the Bioaccessibility of Arsenic(V) and Lead(II) in Soil,165-179,10.1080/713610968,66,0,Jae-Kyu,Yang,2003,3.0,
652,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,20,"Assessment of Soil Arsenic, Chromium, Mercury, and Lead at an Agricultural Landscape Scale",995-1007,10.1080/15320383.2011.620050,11,36,Hong-Bin,Liu,2011,11.0,
653,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,18,Effect of Potassium Dihydrogen Phosphate and Bovine Manure Compost on the Degradation of Chlorothalonil in Soil,195-204,10.1080/15320380802660123,6,14,Huili,Wang,2009,1.0,29.0
654,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,25,The Effect of Equilibration Time and Tubing Material on Soil Gas Measurements,151-163,10.1080/15320383.2016.1111860,1,8,Brian A.,Schumacher,2016,1.0,6.0
655,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,27,Migration of Naphthalene through Low Organic Content Sandy Soil Columns: Comparison of Unsaturated and Saturated Conditions,408-425,10.1080/15320383.2018.1465889,4,41,Nadia,Benaouag,2018,4.0,27.0
656,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,20,Evaluation of Sampling Strategies for Pesticides in a Macroporous Sandy Loam Soil,986-994,10.1080/15320383.2011.620049,3,26,B.,Gjettermann,2011,11.0,
657,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,26,"Phytoremediation Potential of Plants Growing on the Pb-Contaminated Soil at the Song Tho Pb Mine, Thailand",426-437,10.1080/15320383.2017.1348336,9,49,Jiraporn,Yongpisanphop,2017,5.0,19.0
658,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,11,"Adsorption of RDX to Soil with Low Organic Carbon: Laboratory Results, Field Observations, Remedial Implications",809-826,10.1080/20025891107104,22,0,William A.,Tucker,2002,11.0,
659,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,17,Nickel Adsorption Characteristics of Selected Soils as Related to Some Soil Properties,643-653,10.1080/15320380802426566,11,28,E.,Adhami,2008,10.0,17.0
660,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,28,Cultivable Hydrocarbonoclastic Microbial Community from Historically Polluted Soil: Tests for Consortium Development,334-345,10.1080/15320383.2019.1578335,1,33,D.M.,Cocarta,2019,2.0,19.0
661,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,13,Alkali Soil Reclamation with Flue Gas Desulfurization Gypsum in China and Assessment of Metal Content in Corn Grains,65-80,10.1080/10588330490269840,52,44,YUJI,SAKAI,2004,1.0,
662,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,"Study on Amendment of Rapeseed Meal, Soybean Meal, and NPK Fertilizer as Biostimulants in Bioremediation of Diesel-Contaminated Soil by Autochthonous Microorganisms",1-21,10.1080/15320383.2023.2211676,0,77,Behrouz,Soghandi,2023,5.0,12.0
663,Informa UK Limited,Soil and Sediment Contamination: An International Journal,7,25,Soil Cleanup Goal for Dioxin Using Probabilistic Risk Assessment Techniques,824-836,10.1080/15320383.2016.1205549,0,17,Scott C.,Simpson,2016,7.0,6.0
664,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,21,Influence of Short-Chain Aliphatic Acids on the Phenanthrene Desorption and Mobilization from Contaminated Soil,192-206,10.1080/15320383.2012.649375,3,42,Chun-Jiang,An,2012,2.0,
665,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,30,Chromium removal from a contaminated soil using nano zero-valent iron and magnetite affected by temperature and moisture,610-621,10.1080/15320383.2021.1873915,5,31,Akram,Sadeghi,2021,1.0,12.0
666,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,11,Chemical Vapor Intrusion from Soil or Groundwater to Indoor Air: Significance of Unsaturated Zone Biodegradation of Aromatic Hydrocarbons,625-641,10.1080/20025891107195,23,0,George,DeVaull,2002,7.0,
667,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,21,BTEX Remediation under Challenging Site Conditions Using In-Situ Ozone Injection and Soil Vapor Extraction Technologies: A Case Study,545-556,10.1080/15320383.2012.664187,11,14,Samar J.,Bhuyan,2012,5.0,
668,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,26,Optimization of PAHs Oxidation from a Concentrate of Soil Attrition Using Potassium Permanganate,605-622,10.1080/15320383.2017.1367754,2,41,Malika,Bendouz,2017,8.0,18.0
669,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,19,Efficiency of Seven Different Cultivated Plant Species for Phytoextraction of Toxic Metals from Tannery Effluent Contaminated Soil Using EDTA,160-173,10.1080/15320380903548474,28,34,,Firdaus-E-Bareen,2010,2.0,26.0
670,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,24,"Treatability Testing for Weathered Hydrocarbons in Soils: Bioremediation, Soil Washing, Chemical Oxidation, and Thermal Desorption",882-897,10.1080/15320383.2015.1064088,13,27,B. L.,McAlexander,2015,7.0,20.0
671,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,"Sorption and transport of atrazine for stable manure-amended agricultural soil from Kahramanmaraş, Turkey",1-17,10.1080/15320383.2023.2296527,0,38,Mustafa Emre,Tuncel,2023,12.0,21.0
672,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,12,"Heterogeneous Catalytic Oxidation of Phenanthrene by Hydrogen Peroxide in Soil Slurry: Kinetics, Mechanism, and Implication",101-117,10.1080/713610963,50,0,S. R.,Kanel,2003,1.0,
673,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,23,"Assessment of Anthropogenic Influence on Heavy Metals Contamination in the Aquatic Ecosystem Components: Water, Sediment, and Fish",353-373,10.1080/15320383.2014.829025,55,68,M. Safiur,Rahman,2013,12.0,16.0
674,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,24,"Metal Contamination in Sediment of One of the Upper Reaches of the Yangtze River: Mianyuan River in Longmenshan Region, Southwest of China",368-385,10.1080/15320383.2015.962124,13,35,Zeming,Shi,2014,11.0,25.0
675,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,31,"Contamination Status and Potential Risk of Metals in Marine Sediments of Shalateen Coast, the Red Sea",40-56,10.1080/15320383.2021.1903832,3,61,Naglaa,Soliman,2021,4.0,12.0
676,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,"Assessment of Heavy Metals Contamination and Potential Ecological Risk in Surface Sediments of the El Bey Wadi, Tunisia",1-12,10.1080/15320383.2023.2271987,1,31,Sonia,Dhaouadi,2023,10.0,19.0
677,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,32,Optimization of ultrasound-assisted extraction of herbicides from soil and rice using Response surface modelling,1-30,10.1080/15320383.2022.2041543,1,53,Pervinder,Kaur,2022,2.0,25.0
678,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,12,Correlations between PID and FID Field Analytical Instruments in the Analysis of Soil Contaminated with Diesel Fuel,151-164,10.1080/713610967,2,0,Clayton J.,Clark II,2003,3.0,
679,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,20,Biosurfactant Mediated Remediation Process Evaluation on a Mixture of Heavy Metal Spiked Topsoil Using Soil Column and Batch Washing Methods,892-907,10.1080/15320383.2011.620043,7,41,R.,Parthasarathi,2011,11.0,
680,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,29,Cadmium Accumulation Potential of Brassica Species Grown in Metal Spiked Loamy Sand Soil,638-649,10.1080/15320383.2020.1758031,17,46,Salwinder Singh,Dhaliwal,2020,4.0,30.0
681,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,18,Effects of Sterilization and Temperature on the Decrease Kinetic of Lead Bioavailability in Two Different Soil Groups,739-753,10.1080/15320380903252903,7,49,Ali Akbar Safari,Sinegani,2009,10.0,21.0
682,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,"Soil and Groundwater Remediation at an Abandoned Fuel Farm (Site 7) using Vacuum-Enhanced Pumping, Naval Air Facility, El Centro, California",390-391,10.1080/20025891107203,2,0,Kent,Weingardt,2002,5.0,
683,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,13,Acetone Production as a Result of Sodium Bisulfate Preservation of Soil Samples,245-254,10.1080/10588330490445376,2,15,JAY L.,CLAUSEN,2004,5.0,
684,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,32,"Response of Bacteria Isolated from Spent Engine Oil Contaminated Soil to Hydrocarbons, Metals and Antibiotics",954-969,10.1080/15320383.2022.2157794,0,62,Akpoduado Marc,Onovaye,2022,12.0,19.0
685,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,32,"Source identification and spatial distribution of heavy metals in soil of central urban area of Chongqing, China",771-788,10.1080/15320383.2022.2141684,0,47,Zhu,Kun,2022,11.0,3.0
686,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,12,Multi-Species Ecotoxicity Assessment of Petroleum-Contaminated Soil,181-206,10.1080/713610969,17,0,Kathleen,Duncan,2003,3.0,
687,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,32,Remediation of Lubricant Contaminated Soils by Cavitation Microjet Shock Wave Soil Washing System with Ozonation,1053-1065,10.1080/15320383.2022.2164558,1,31,Colin S.,Chen,2023,1.0,9.0
688,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,27,Evidence of canister contamination causing false positive detections in vapor intrusion investigation results,748-755,10.1080/15320383.2018.1517726,3,8,Thomas E.,McHugh,2018,9.0,12.0
689,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,26,Assessment of Heavy Metal Contamination in the Sediments of the Shuangtaizi Estuary Using Multivariate Statistical Techniques,45-58,10.1080/15320383.2017.1245710,12,41,Chen,Li,2016,12.0,1.0
690,Informa UK Limited,Soil and Sediment Contamination: An International Journal,8,21,"Polycyclic Aromatic Hydrocarbon (PAH) Contamination in the Urban Topsoils of Shenyang, China",901-917,10.1080/15320383.2012.697937,17,37,Yuebing,Sun,2012,7.0,9.0
691,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,30,Level and Potential Risk Assessment of Soil Contamination by Trace Metal from Mining Activities,92-106,10.1080/15320383.2020.1811203,9,31,Manh Ha,Nguyen,2020,8.0,28.0
692,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,Chemo-Mechanical Behavior of Bentonite-Sand Mixtures Inundated with Organic Pore-Fluid,1-17,10.1080/15320383.2023.2234484,0,31,Shafi Kamal,Rahman,2023,7.0,11.0
693,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,22,Kinetic Extractions of Nickel and Lead from Some Contaminated Calcareous Soils,56-71,10.1080/15320383.2012.714420,16,39,Mohsen,Jalali,2012,11.0,30.0
694,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,“Total Petroleum Hydrocarbons” Detected in Naturally Occurring Materials,412-412,10.1080/20025891107366,0,0,Elizabeth A.,Harvey,2002,5.0,
695,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,11,A New Look at an Old Oil Spill,417-417,10.1080/20025891107429,0,0,Christopher M.,Reddy,2002,5.0,
696,Informa UK Limited,Journal of Soil Contamination,1,1,Stabilization and solidification of hydrocarbon‐contaminated soils in concrete,61-79,10.1080/15320389209383403,3,19,A. Samer,Ezeldin,1992,1.0,
697,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,17,Settlement Characteristics of Clayey Soils Contaminated with Petroleum Hydrocarbons,290-300,10.1080/15320380802007028,53,26,S. K.,Singh,2008,4.0,24.0
698,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,21,Rapid Assessment of Intertidal Wetland Sediments,574-585,10.1080/15320383.2012.678950,0,48,Jinren,Ni,2012,7.0,
699,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,26,Enhanced Phytoextraction by As Hyperaccumulator<i>Isatis cappadocica</i>Spiked with Sodium Nitroprusside,457-468,10.1080/15320383.2017.1326457,17,61,Zahra,Souri,2017,5.0,11.0
700,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,15,Behavior of a Viscous LNAPL Under Variable Water Table Conditions,543-564,10.1080/15320380600958976,26,27,M.,Oostrom,2006,12.0,
701,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,24,Remediation of Explosive-Contaminated Soils: Alkaline Hydrolysis and Subcritical Water Degradation,157-171,10.1080/15320383.2014.929633,9,37,Seok-Young,Oh,2015,1.0,7.0
702,Informa UK Limited,Journal of Soil Contamination,1,1,Toxicological evaluation of methyl tertiary butyl ether (MTBE): Testing performed under TSCA consent agreement,29-37,10.1080/15320389209383401,16,17,J. S.,Duffy,1992,1.0,
703,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,18,Anaerobic Biodegradation of Poly-3-Hydroxybutyrate (PHB) by Sulfate Reducing Bacterium<i>Desulfotomaculum</i>sp.,345-353,10.1080/15320380902772653,4,34,Demet,Çetin,2009,4.0,24.0
704,Czech Academy of Agricultural Sciences,PLANT SOIL ENVIRON,12,51,Effect of nickel contamination on soil enzymatic activities,523-531,10.17221/3627-pse,12,25,J.,Wyszkowska,2005,12.0,31.0
705,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,32,Microplastic contamination of coastal hill soils: Perspective of Rohingya Refugee camps in Bangladesh,448-459,10.1080/15320383.2022.2096565,3,45,Jabed,Hasan,2022,7.0,4.0
706,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,21,Sediment Toxicity Bioassays Using<i>Ruditapes decussatus</i>Embryos and Larvae to Assess the Contamination in Four Sites on the Coast of Tunisia,351-363,10.1080/15320383.2012.664182,2,33,Salem,Fathallah,2012,4.0,
707,Informa UK Limited,Soil and Sediment Contamination: An International Journal,5,19,"Contamination Assessment of Lead, Zinc, Copper, Cadmium, Arsenic and Antimony in Ahangaran Mine Soils, Malayer, West of Iran",573-586,10.1080/15320383.2010.499921,18,46,Behrouz,Rafiei,2010,8.0,31.0
708,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,10,Evaluation of Soil Vapor Extraction and Bioventing for a Petroleum-Contaminated Shallow Aquifer in Korea,439-458,10.1080/20015891109365,10,0,Jin-Yong,Lee,2001,7.0,
709,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,20,The Effect of Temperature and Aeration Rate on Bioremediation of Diesel-contaminated Soil in Solid-phase Bench-scale Bioreactors,353-369,10.1080/15320383.2011.571311,18,48,David,Sanscartier,2011,5.0,
710,Informa UK Limited,Journal of Soil Contamination,3,1,A rapid and sensitive immunoassay for the detection of gasoline and diesel fuel in contaminated soil,227-237,10.1080/15320389209383413,3,14,Randy L.,Allen,1992,1.0,
711,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,13,Column Leaching using Dry Soil to Estimate Solid-Solution Partitioning Observed in Zero-Tension Lysimeters. 2. Trace Metals,375-390,10.1080/10588330490466021,8,36,J D,MacDonald,2004,7.0,
712,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,15,Lime Treatment of Explosives-Contaminated Soil from Munitions Plants and Firing Ranges,565-580,10.1080/15320380600959032,18,27,Jeffrey L.,Davis,2006,12.0,
713,Informa UK Limited,Soil and Sediment Contamination: An International Journal,,,Change in Morphometrical Properties of Surface Cracks on a Petroleum-Contaminated Soil Inoculated by Microorganisms,1-18,10.1080/15320383.2023.2286021,0,87,Azam,Mumzaei,2023,11.0,23.0
714,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,20,Effect of Soil Chemical and Physical Properties on Sorption and Desorption Behavior of Lead in Different Soils of India,249-260,10.1080/15320383.2011.560979,7,40,Sudarshan Kumar,Dutta,2011,4.0,21.0
715,Informa UK Limited,Journal of Soil Contamination,2,5,Field trials of a TiO<sub>2 </sub>pellet‐based photocatalytic reactor for off‐gas treatment at a soil vapor extraction well,187-202,10.1080/15320389609383522,15,10,Harry W.,Read,1996,4.0,
716,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,25,Using Maize (<i>Zea mays</i> L.) and Sewage Sludge to Remediate a Petroleum-Contaminated Calcareous Soil,26-37,10.1080/15320383.2016.1085835,5,51,Aboozar,Asadollahi,2016,1.0,2.0
717,Informa UK Limited,Soil and Sediment Contamination: An International Journal,2,16,Enhanced Degradation of<i>n</i>-Hexadecane in Diesel Fuel Contaminated Soil by the Addition of Fermented Whey,221-232,10.1080/15320380601169425,6,37,Tomas L.,Östberg,2007,1.0,30.0
718,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,24,Effects of EDTA and EDDS on Heavy Metal Activation and Accumulation of Metals by Soybean in Alkaline Soil,353-367,10.1080/15320383.2015.962125,8,49,Ye,Zhao,2015,4.0,18.0
719,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,31,Long-term Application of Manure Alters Culturable Soil Microbial Populations and Leads to Occurrence of Antibiotic resistant Bacteria,423-437,10.1080/15320383.2021.1961122,2,31,Yalda,Mahjoory,2021,8.0,4.0
